time,GEN1:Vt
3.55,0.98960
3.56,0.98969
3.57,0.98977
3.58,0.98985
3.59,0.98993
3.6,0.99001
3.61,0.99008
3.62,0.99016
3.63,0.99023
3.64,0.99030
3.65,0.99036
3.66,0.99043
3.67,0.99049
3.68,0.99056
3.69,0.99062
3.7,0.99068
3.71,0.99074
3.72,0.99079
3.73,0.99085
3.74,0.99091
3.75,0.99096
3.76,0.99101
3.77,0.99106
3.78,0.99111
3.79,0.99117
3.8,0.99121
3.81,0.99126
3.82,0.99131
3.83,0.99136
3.84,0.99141
3.85,0.99146
3.86,0.99150
3.87,0.99155
3.88,0.99160
3.89,0.99165
3.9,0.99169
3.91,0.99174
3.92,0.99179
3.93,0.99184
3.94,0.99188
3.95,0.99193
3.96,0.99198
3.97,0.99203
3.98,0.99208
3.99,0.99213
4,0.99219
4.01,0.99224
4.02,0.99229
4.03,0.99235
4.04,0.99240
4.05,0.99246
4.06,0.99251
4.07,0.99257
4.08,0.99262
4.09,0.99268
4.1,0.99274
4.11,0.99280
4.12,0.99285
4.13,0.99291
4.14,0.99297
4.15,0.99303
4.16,0.99309
4.17,0.99314
4.18,0.99320
4.19,0.99326
4.2,0.99332
4.21,0.99337
4.22,0.99343
4.23,0.99348
4.24,0.99354
4.25,0.99359
4.26,0.99364
4.27,0.99369
4.28,0.99375
4.29,0.99380
4.3,0.99384
4.31,0.99389
4.32,0.99394
4.33,0.99399
4.34,0.99403
4.35,0.99408
4.36,0.99412
4.37,0.99416
4.38,0.99420
4.39,0.99424
4.4,0.99429
4.41,0.99432
4.42,0.99436
4.43,0.99440
4.44,0.99444
4.45,0.99448
4.46,0.99451
4.47,0.99455
4.48,0.99458
4.49,0.99462
4.5,0.99465
4.51,0.99469
4.52,0.99472
4.53,0.99476
4.54,0.99479
4.55,0.99482
4.56,0.99486
4.57,0.99489
4.58,0.99492
4.59,0.99496
4.6,0.99499
4.61,0.99502
4.62,0.99506
4.63,0.99509
4.64,0.99512
4.65,0.99516
4.66,0.99519
4.67,0.99523
4.68,0.99526
4.69,0.99530
4.7,0.99533
4.71,0.99537
4.72,0.99540
4.73,0.99544
4.74,0.99548
4.75,0.99551
4.76,0.99555
4.77,0.99559
4.78,0.99562
4.79,0.99566
4.8,0.99570
4.81,0.99573
4.82,0.99577
4.83,0.99581
4.84,0.99584
4.85,0.99588
4.86,0.99592
4.87,0.99595
4.88,0.99599
4.89,0.99603
4.9,0.99606
4.91,0.99610
4.92,0.99613
4.93,0.99617
4.94,0.99620
4.95,0.99624
4.96,0.99627
4.97,0.99630
4.98,0.99633
4.99,0.99637
5,0.99640
5.01,0.99643
5.02,0.99646
5.03,0.99649
5.04,0.99652
5.05,0.99655
5.06,0.99658
5.07,0.99661
5.08,0.99663
5.09,0.99666
5.1,0.99669
5.11,0.99671
5.12,0.99674
5.13,0.99677
5.14,0.99679
5.15,0.99682
5.16,0.99684
5.17,0.99687
5.18,0.99689
5.19,0.99692
5.2,0.99694
5.21,0.99696
5.22,0.99699
5.23,0.99701
5.24,0.99704
5.25,0.99706
5.26,0.99708
5.27,0.99711
5.28,0.99713
5.29,0.99715
5.3,0.99718
5.31,0.99720
5.32,0.99722
5.33,0.99725
5.34,0.99727
5.35,0.99729
5.36,0.99732
5.37,0.99734
5.38,0.99736
5.39,0.99739
5.4,0.99741
5.41,0.99744
5.42,0.99746
5.43,0.99748
5.44,0.99751
5.45,0.99753
5.46,0.99756
5.47,0.99758
5.48,0.99760
5.49,0.99763
5.5,0.99765
5.51,0.99768
5.52,0.99770
5.53,0.99772
5.54,0.99775
5.55,0.99777
5.56,0.99780
5.57,0.99782
5.58,0.99784
5.59,0.99787
5.6,0.99789
5.61,0.99791
5.62,0.99793
5.63,0.99796
5.64,0.99798
5.65,0.99800
5.66,0.99802
5.67,0.99804
5.68,0.99807
5.69,0.99809
5.7,0.99811
5.71,0.99813
5.72,0.99815
5.73,0.99817
5.74,0.99819
5.75,0.99821
5.76,0.99823
5.77,0.99825
5.78,0.99826
5.79,0.99828
5.8,0.99830
5.81,0.99832
5.82,0.99834
5.83,0.99835
5.84,0.99837
5.85,0.99839
5.86,0.99841
5.87,0.99842
5.88,0.99844
5.89,0.99846
5.9,0.99847
5.91,0.99849
5.92,0.99851
5.93,0.99852
5.94,0.99854
5.95,0.99856
5.96,0.99857
5.97,0.99859
5.98,0.99861
5.99,0.99862
6,0.99864
6.01,0.99865
6.02,0.99867
6.03,0.99869
6.04,0.99870
6.05,0.99872
6.06,0.99874
6.07,0.99875
6.08,0.99877
6.09,0.99878
6.1,0.99880
6.11,0.99882
6.12,0.99883
6.13,0.99885
6.14,0.99887
6.15,0.99888
6.16,0.99890
6.17,0.99891
6.18,0.99893
6.19,0.99895
6.2,0.99896
6.21,0.99898
6.22,0.99899
6.23,0.99901
6.24,0.99903
6.25,0.99904
6.26,0.99906
6.27,0.99907
6.28,0.99909
6.29,0.99910
6.3,0.99912
6.31,0.99913
6.32,0.99915
6.33,0.99916
6.34,0.99918
6.35,0.99919
6.36,0.99921
6.37,0.99922
6.38,0.99924
6.39,0.99925
6.4,0.99926
6.41,0.99928
6.42,0.99929
6.43,0.99930
